K,D,j,maskSeed,chainSeed,cov80,cov90,cov95,cov99
1.0,1.0,1.0,101.0,101.0,0.9677912102300005,0.9795749138043905,0.9852049055121547,0.9901802470213416
10.0,1.0,1.0,101.0,101.0,0.9788766202592415,0.9874307161873173,0.9911404006459216,0.9944136516388077
20.0,1.0,1.0,101.0,101.0,0.9786584035263824,0.98725614280103,0.991053113952778,0.9942390782525204
5.0,1.0,1.0,101.0,101.0,0.9769999563566534,0.9864269192161655,0.9902675337144853,0.9938026447868022
1.0,3.0,2.0,101.0,101.0,0.9341421900231309,0.9577095971719112,0.9687513638545804,0.9799677039235368
10.0,3.0,2.0,101.0,101.0,0.957971457251342,0.9738576354034827,0.9806659974686859,0.986557849255881
20.0,3.0,2.0,101.0,101.0,0.9605464146990791,0.9745559289486317,0.9812333609741195,0.9877798629598917
5.0,3.0,2.0,101.0,101.0,0.9532143324750142,0.9712390346091738,0.9790511936455287,0.9863396325230218
1.0,1.0,1.0,102.0,101.0,0.9639966752701343,0.9769018767225163,0.9826326610962859,0.9878822345684413
10.0,1.0,1.0,102.0,101.0,0.9792204383393849,0.9862198696355922,0.9901133032941074,0.9934817796054071
20.0,1.0,1.0,102.0,101.0,0.9786517345465681,0.9864823483091999,0.99020079618531,0.9940942298438252
5.0,1.0,1.0,102.0,101.0,0.9751957653440658,0.9849074762675533,0.9881884596876503,0.9925631042477798
1.0,3.0,2.0,102.0,101.0,0.9341178529244499,0.9552911325954766,0.9650903364101667,0.9758519620280852
10.0,3.0,2.0,102.0,101.0,0.9555973577146857,0.9709523601207402,0.9786079881009668,0.985169954941161
20.0,3.0,2.0,102.0,101.0,0.9595345378188023,0.9742770899864386,0.9803140994794173,0.9869635592108141
5.0,3.0,2.0,102.0,101.0,0.9519664027297782,0.9676713767006431,0.9762019335928955,0.984557504702743
1.0,1.0,1.0,103.0,101.0,0.9667354306343476,0.9792848547361183,0.9850438370293966,0.9910606842014784
10.0,1.0,1.0,103.0,101.0,0.9784253051401066,0.9869348461406223,0.9908028193226749,0.9942839951865222
20.0,1.0,1.0,103.0,101.0,0.9787691249785112,0.9868488911810211,0.9901151796458656,0.9935533780299123
5.0,1.0,1.0,103.0,101.0,0.977350868145092,0.9858174316658072,0.9899432697266632,0.9939401753481176
1.0,3.0,2.0,103.0,101.0,0.9370379920921437,0.9571084751590166,0.9680677325081657,0.9785542375795083
10.0,3.0,2.0,103.0,101.0,0.9583977995530342,0.9739126697610452,0.9796716520543235,0.9866340037820183
20.0,3.0,2.0,103.0,101.0,0.9599020113460547,0.9738696922812446,0.9803592917311329,0.9866340037820183
5.0,3.0,2.0,103.0,101.0,0.952724772219357,0.970517448856799,0.9771359807460891,0.9846570397111913
1.0,1.0,1.0,104.0,101.0,0.9650893163861216,0.9779714874613535,0.983725523874957,0.9896513225695637
10.0,1.0,1.0,104.0,101.0,0.978057368601855,0.9877619374785297,0.991497767090347,0.9948471315699072
20.0,1.0,1.0,104.0,101.0,0.9782720714531089,0.9875472346272759,0.9917124699416008,0.9946753692889042
5.0,1.0,1.0,104.0,101.0,0.9777138440398488,0.9872466506355204,0.9912401236688423,0.9942459635863964
1.0,3.0,2.0,104.0,101.0,0.9324115424252835,0.9547835795259361,0.9662487117828925,0.9767262109240811
10.0,3.0,2.0,104.0,101.0,0.9559859154929577,0.9732050841635177,0.9802473376846444,0.9875901751975267
20.0,3.0,2.0,104.0,101.0,0.9590776365510134,0.9741497767090347,0.9808055650979045,0.9877619374785297
5.0,3.0,2.0,104.0,101.0,0.9540965304019238,0.9706286499484713,0.9782291308828581,0.9862160769495019
1.0,1.0,1.0,105.0,101.0,0.9669757676493745,0.9787420173213193,0.9843408275741405,0.9895897121861604
10.0,1.0,1.0,105.0,101.0,0.9804479048202257,0.9884087131484559,0.9912518589799667,0.9943574490420786
20.0,1.0,1.0,105.0,101.0,0.9791356836672207,0.987358936226052,0.9908581926340653,0.993963782696177
5.0,1.0,1.0,105.0,101.0,0.9773860554632141,0.9862216778934476,0.9899396378269618,0.9934826349400753
1.0,3.0,2.0,105.0,101.0,0.9351762750415537,0.9569591461814364,0.9678068410462777,0.9788294987315196
10.0,3.0,2.0,105.0,101.0,0.9594961070772461,0.9737993176450004,0.9803604234100254,0.987096491995451
20.0,3.0,2.0,105.0,101.0,0.9612457352812528,0.9755926865541072,0.9815414224477299,0.9883212317382556
5.0,3.0,2.0,105.0,101.0,0.9553407400927303,0.9710873939287902,0.978698276616219,0.9859592336628467
