D,j,K,mask,lppd
1.0,1.0,1.0,101.0,-3.516036205453642
1.0,1.0,1.0,102.0,-3.500972105544376
1.0,1.0,1.0,103.0,-3.4955220710504076
1.0,1.0,1.0,104.0,-3.5128813739073363
1.0,1.0,5.0,101.0,-3.4283586533683033
1.0,1.0,5.0,102.0,-3.4336609530797615
1.0,1.0,5.0,103.0,-3.4336249905701495
1.0,1.0,5.0,104.0,-3.4352121096083206
1.0,1.0,10.0,101.0,-3.4180996794785146
1.0,1.0,10.0,102.0,-3.424391998312906
1.0,1.0,10.0,103.0,-3.430253187265383
1.0,1.0,10.0,104.0,-3.430143815290994
1.0,1.0,25.0,101.0,-3.419316379710404
1.0,1.0,25.0,102.0,-3.425099371234641
1.0,1.0,25.0,103.0,-3.431754289533194
1.0,1.0,25.0,104.0,-3.430729111157075
3.0,2.0,1.0,101.0,-3.3444883428963235
3.0,2.0,1.0,102.0,-3.3465300805690785
3.0,2.0,1.0,103.0,-3.3170352274355794
3.0,2.0,1.0,104.0,-3.342106230807123
3.0,2.0,5.0,101.0,-3.1980702398158014
3.0,2.0,5.0,102.0,-3.197357596729306
3.0,2.0,5.0,103.0,-3.1928507910519595
3.0,2.0,5.0,104.0,-3.1939258692418813
3.0,2.0,10.0,101.0,-3.1609090231947974
3.0,2.0,10.0,102.0,-3.1837056192372715
3.0,2.0,10.0,103.0,-3.1744347206581884
3.0,2.0,10.0,104.0,-3.174395429996277
3.0,2.0,25.0,101.0,-3.1541016538576176
3.0,2.0,25.0,102.0,-3.1780187560927926
3.0,2.0,25.0,103.0,-3.1699205619306223
3.0,2.0,25.0,104.0,-3.174425296712986
5.0,3.0,1.0,101.0,-3.3140353019611895
5.0,3.0,1.0,102.0,-3.3397819626548704
5.0,3.0,1.0,103.0,-3.2844202095335286
5.0,3.0,1.0,104.0,-3.319858944147577
5.0,3.0,5.0,101.0,-3.1073996247036875
5.0,3.0,5.0,102.0,-3.1318433488522794
5.0,3.0,5.0,103.0,-3.1076923293319383
5.0,3.0,5.0,104.0,-3.099192218124529
5.0,3.0,10.0,101.0,-3.069341300474021
5.0,3.0,10.0,102.0,-3.105223346221088
5.0,3.0,10.0,103.0,-3.0714868267519555
5.0,3.0,10.0,104.0,-3.077214184066595
5.0,3.0,25.0,101.0,-3.038449734727999
5.0,3.0,25.0,102.0,-3.084810085697159
5.0,3.0,25.0,103.0,-3.061003573004266
5.0,3.0,25.0,104.0,-3.0585104643613503
7.0,4.0,1.0,101.0,-3.350587470574928
7.0,4.0,1.0,102.0,-3.3970724652104995
7.0,4.0,1.0,103.0,-3.3157955163982615
7.0,4.0,1.0,104.0,-3.3627377767478186
7.0,4.0,5.0,101.0,-3.089446405203258
7.0,4.0,5.0,102.0,-3.1153627613272863
7.0,4.0,5.0,103.0,-3.112091721179851
7.0,4.0,5.0,104.0,-3.0629386582639957
7.0,4.0,10.0,101.0,-3.030979101702072
7.0,4.0,10.0,102.0,-3.076542263094418
7.0,4.0,10.0,103.0,-3.039733842489708
7.0,4.0,10.0,104.0,-3.0373203156203767
7.0,4.0,25.0,101.0,-2.9952935036804864
7.0,4.0,25.0,102.0,-3.0516646349698364
7.0,4.0,25.0,103.0,-3.0121256707407995
7.0,4.0,25.0,104.0,-3.030308160012636
