mask,chain,K,D,j,lppd
101.0,101.0,1.0,1.0,1.0,-3.5162379185555777
101.0,101.0,10.0,1.0,1.0,-3.420526754915057
101.0,101.0,20.0,1.0,1.0,-3.4199350659819507
101.0,101.0,25.0,1.0,1.0,-3.4296503403961744
101.0,101.0,5.0,1.0,1.0,-3.4302016737236483
101.0,101.0,1.0,3.0,2.0,-3.403765334943131
101.0,101.0,10.0,3.0,2.0,-3.2032101250013287
101.0,101.0,20.0,3.0,2.0,-3.1744866184379386
101.0,101.0,25.0,3.0,2.0,-3.1753823162158756
101.0,101.0,5.0,3.0,2.0,-3.2344576404899312
101.0,102.0,1.0,1.0,1.0,-3.516045028641084
101.0,102.0,10.0,1.0,1.0,-3.4186077741075103
101.0,102.0,25.0,1.0,1.0,-3.42215203025758
101.0,102.0,5.0,1.0,1.0,-3.439561965869901
101.0,102.0,1.0,3.0,2.0,-3.4037022722701518
101.0,102.0,10.0,3.0,2.0,-3.1863913581121066
101.0,102.0,25.0,3.0,2.0,-3.170207461819899
101.0,102.0,5.0,3.0,2.0,-3.242150123559205
102.0,101.0,1.0,1.0,1.0,-3.5010933447317294
102.0,101.0,10.0,1.0,1.0,-3.424356309889862
102.0,101.0,20.0,1.0,1.0,-3.4248984603668053
102.0,101.0,25.0,1.0,1.0,-3.425660640219549
102.0,101.0,5.0,1.0,1.0,-3.4339869632539357
102.0,101.0,1.0,3.0,2.0,-3.3647090255785552
102.0,101.0,10.0,3.0,2.0,-3.200940656280123
102.0,101.0,20.0,3.0,2.0,-3.1864894290752814
102.0,101.0,25.0,3.0,2.0,-3.1887653744629554
102.0,101.0,5.0,3.0,2.0,-3.2153361609109323
102.0,102.0,1.0,1.0,1.0,-3.500982971819737
102.0,102.0,10.0,1.0,1.0,-3.42611855295943
102.0,102.0,25.0,1.0,1.0,-3.4277156615291458
102.0,102.0,5.0,1.0,1.0,-3.4340488961839797
102.0,102.0,1.0,3.0,2.0,-3.3644738200369906
102.0,102.0,10.0,3.0,2.0,-3.1942357511266026
102.0,102.0,25.0,3.0,2.0,-3.190877047405948
102.0,102.0,5.0,3.0,2.0,-3.2205663084385527
103.0,101.0,1.0,1.0,1.0,-3.495671326170747
103.0,101.0,10.0,1.0,1.0,-3.429567484390341
103.0,101.0,20.0,1.0,1.0,-3.4327657496384267
103.0,101.0,25.0,1.0,1.0,-3.433927545075303
103.0,101.0,5.0,1.0,1.0,-3.4333851853376895
103.0,101.0,1.0,3.0,2.0,-3.359717908602121
103.0,101.0,10.0,3.0,2.0,-3.2095950733580167
103.0,101.0,20.0,3.0,2.0,-3.207298688750688
103.0,101.0,25.0,3.0,2.0,-3.2011981427435128
103.0,101.0,5.0,3.0,2.0,-3.2398953241152526
103.0,102.0,1.0,1.0,1.0,-3.4955902040533826
103.0,102.0,10.0,1.0,1.0,-3.440803530482124
103.0,102.0,25.0,1.0,1.0,-3.432449867358235
103.0,102.0,5.0,1.0,1.0,-3.4428285119348594
103.0,102.0,1.0,3.0,2.0,-3.3601898289026595
103.0,102.0,10.0,3.0,2.0,-3.2088078013296966
103.0,102.0,25.0,3.0,2.0,-3.2034956358082107
103.0,102.0,5.0,3.0,2.0,-3.2426936076936865
104.0,101.0,1.0,1.0,1.0,-3.513199776596871
104.0,101.0,10.0,1.0,1.0,-3.4314680438805976
104.0,101.0,20.0,1.0,1.0,-3.43296014565167
104.0,101.0,25.0,1.0,1.0,-3.432368340306619
104.0,101.0,5.0,1.0,1.0,-3.435998019861097
104.0,101.0,1.0,3.0,2.0,-3.3988701546265743
104.0,101.0,10.0,3.0,2.0,-3.2142960654904154
104.0,101.0,20.0,3.0,2.0,-3.2066882171251674
104.0,101.0,25.0,3.0,2.0,-3.212492508797294
104.0,101.0,5.0,3.0,2.0,-3.2361665255110754
104.0,102.0,1.0,1.0,1.0,-3.512811733039198
104.0,102.0,10.0,1.0,1.0,-3.431517689474109
104.0,102.0,25.0,1.0,1.0,-3.4322295659443776
104.0,102.0,5.0,1.0,1.0,-3.440525377127166
104.0,102.0,1.0,3.0,2.0,-3.3988704690750997
104.0,102.0,10.0,3.0,2.0,-3.217100178318865
104.0,102.0,25.0,3.0,2.0,-3.2117351232260005
104.0,102.0,5.0,3.0,2.0,-3.2380356584950873
105.0,101.0,1.0,1.0,1.0,-3.4993262983820252
105.0,101.0,10.0,1.0,1.0,-3.4083366079063815
105.0,101.0,20.0,1.0,1.0,-3.417534540280761
105.0,101.0,5.0,1.0,1.0,-3.425294597031934
105.0,101.0,1.0,3.0,2.0,-3.3721442895395595
105.0,101.0,10.0,3.0,2.0,-3.1816063599327755
105.0,101.0,20.0,3.0,2.0,-3.169569693901455
105.0,101.0,5.0,3.0,2.0,-3.1999347679850176
