K,D,maskSeed,lppd
1.0,1.0,101.0,-3.7279110690101547
1.0,1.0,102.0,-3.7578083774254574
1.0,1.0,103.0,-3.7331653696690257
1.0,1.0,104.0,-3.7335611852164647
1.0,1.0,105.0,-3.7128484088474623
1.0,5.0,101.0,-3.656189338365773
1.0,5.0,102.0,-3.6809852376129992
1.0,5.0,103.0,-3.662604747668651
1.0,5.0,104.0,-3.6624585567500088
1.0,5.0,105.0,-3.6401524473763347
1.0,10.0,101.0,-3.6531929595496173
1.0,10.0,102.0,-3.6776555905658874
1.0,10.0,103.0,-3.6586996838076606
1.0,10.0,104.0,-3.6589003255527572
1.0,10.0,105.0,-3.639233181276451
1.0,25.0,101.0,-3.6531435507023833
1.0,25.0,102.0,-3.6776696913823974
1.0,25.0,103.0,-3.6587946004552117
1.0,25.0,104.0,-3.659036912327644
1.0,25.0,105.0,-3.6389174649948224
2.0,1.0,101.0,-3.7164314399864917
2.0,1.0,102.0,-3.7555305609860326
2.0,1.0,103.0,-3.7238806502668513
2.0,1.0,104.0,-3.7245361798156353
2.0,1.0,105.0,-3.6975105020156245
2.0,5.0,101.0,-3.5979143732079457
2.0,5.0,102.0,-3.6215697830357167
2.0,5.0,103.0,-3.598529029149352
2.0,5.0,104.0,-3.604890264064839
2.0,5.0,105.0,-3.5731609971423364
2.0,10.0,101.0,-3.585262649918397
2.0,10.0,102.0,-3.6161932488973823
2.0,10.0,103.0,-3.592765692420906
2.0,10.0,104.0,-3.5937632456489137
2.0,10.0,105.0,-3.565679143167235
2.0,25.0,101.0,-3.585347865986763
2.0,25.0,102.0,-3.616017494520449
2.0,25.0,103.0,-3.5933477829553886
2.0,25.0,104.0,-3.593870365827406
2.0,25.0,105.0,-3.5660998337220238
3.0,1.0,101.0,-3.746916930021677
3.0,1.0,102.0,-3.7922494496971986
3.0,1.0,103.0,-3.7562749756173703
3.0,1.0,104.0,-3.756524766004878
3.0,1.0,105.0,-3.7262319034833844
3.0,5.0,101.0,-3.5889581492378384
3.0,5.0,102.0,-3.6224866202534804
3.0,5.0,103.0,-3.5936467528945126
3.0,5.0,104.0,-3.6028198391863064
3.0,5.0,105.0,-3.5601530681989533
3.0,10.0,101.0,-3.572376868917765
3.0,10.0,102.0,-3.60735416482245
3.0,10.0,103.0,-3.5837147323737675
3.0,10.0,104.0,-3.583810016644506
3.0,10.0,105.0,-3.5507480195428354
3.0,25.0,101.0,-3.5723437500507154
3.0,25.0,102.0,-3.607225555543839
3.0,25.0,103.0,-3.5832464100261507
3.0,25.0,104.0,-3.5829159562243182
3.0,25.0,105.0,-3.550242254098719
4.0,1.0,101.0,-3.784754995262226
4.0,1.0,102.0,-3.8347160287784616
4.0,1.0,103.0,-3.795444680513818
4.0,1.0,104.0,-3.7955671177295214
4.0,1.0,105.0,-3.763066054762396
4.0,5.0,101.0,-3.59181754234141
4.0,5.0,102.0,-3.6344580717909314
4.0,5.0,103.0,-3.60730115099077
4.0,5.0,104.0,-3.6045467962438287
4.0,5.0,105.0,-3.5775650579174174
4.0,10.0,101.0,-3.5769682515678793
4.0,10.0,102.0,-3.6139176718899306
4.0,10.0,103.0,-3.59033157063723
4.0,10.0,104.0,-3.5878725608518685
4.0,10.0,105.0,-3.5511456225829603
4.0,25.0,101.0,-3.5748172384281305
4.0,25.0,102.0,-3.6122626153577455
4.0,25.0,103.0,-3.587888646824478
4.0,25.0,104.0,-3.5863522804706784
4.0,25.0,105.0,-3.5504840248942005
5.0,1.0,101.0,-3.822853538271762
5.0,1.0,102.0,-3.8767844401212326
5.0,1.0,103.0,-3.834795090212146
5.0,1.0,104.0,-3.8348028102747107
5.0,1.0,105.0,-3.800874868954816
5.0,5.0,101.0,-3.6077896296834195
5.0,5.0,102.0,-3.6464766042457786
5.0,5.0,103.0,-3.6338286813613165
5.0,5.0,104.0,-3.648503227704709
5.0,5.0,105.0,-3.5840768589491363
5.0,10.0,101.0,-3.5854116687849755
5.0,10.0,102.0,-3.6234214187997273
5.0,10.0,103.0,-3.6013329298952277
5.0,10.0,104.0,-3.5988073463618133
5.0,10.0,105.0,-3.558448519592037
5.0,25.0,101.0,-3.582885193812492
5.0,25.0,102.0,-3.6225383802092237
5.0,25.0,103.0,-3.5992010568897452
5.0,25.0,104.0,-3.5963472895565407
5.0,25.0,105.0,-3.5565015878386945
