K,Q,D,mask,burnin,all1,all95,all9,five,ten,fifty
1.0,10.0,1.0,101.0,10000.0,0.1076990291262136,1.0787486515641855e-6,0.0,0.0,0.0,0.0
1.0,1.0,1.0,101.0,10000.0,0.10758576051779935,2.157497303128371e-6,0.0,0.0,0.0,0.0
1.0,5.0,1.0,101.0,10000.0,0.10794929881337648,5.393743257820928e-6,0.0,0.0,0.0,0.0
25.0,10.0,1.0,101.0,10000.0,0.10786084142394822,1.0787486515641855e-6,0.0,0.0,0.0,0.0
25.0,1.0,1.0,101.0,10000.0,0.10754153182308522,2.157497303128371e-6,0.0,0.0,0.0,0.0
25.0,5.0,1.0,101.0,10000.0,0.10800107874865156,2.157497303128371e-6,0.0,0.0,0.0,0.0
50.0,10.0,1.0,101.0,10000.0,0.10790722761596548,0.0,0.0,0.0,0.0,0.0
50.0,1.0,1.0,101.0,10000.0,0.10759439050701186,0.0,0.0,0.0,0.0,0.0
50.0,5.0,1.0,101.0,10000.0,0.1073042071197411,1.0787486515641855e-6,0.0,0.0,0.0,0.0
5.0,10.0,1.0,101.0,10000.0,0.1075695792880259,0.0,0.0,0.0,0.0,0.0
5.0,1.0,1.0,101.0,10000.0,0.10754908306364618,1.0787486515641855e-6,0.0,0.0,0.0,0.0
5.0,5.0,1.0,101.0,10000.0,0.10786407766990291,0.0,0.0,0.0,0.0,0.0
1.0,10.0,2.0,101.0,10000.0,0.18020604099244875,0.037245954692556635,0.01519848975188781,0.0005005393743257821,1.941747572815534e-5,0.0
1.0,1.0,2.0,101.0,10000.0,0.18011650485436892,0.03733549083063646,0.015187702265372168,0.00048112189859762675,1.6181229773462782e-5,0.0
1.0,5.0,2.0,101.0,10000.0,0.18041531823085222,0.037131607335490834,0.01510571736785329,0.00048651564185544767,1.4023732470334412e-5,0.0
25.0,10.0,2.0,101.0,10000.0,0.18050701186623516,0.03721143473570658,0.015052858683926645,0.0004886731391585761,1.5102481121898598e-5,0.0
25.0,1.0,2.0,101.0,10000.0,0.18067313915857605,0.03722869471413161,0.015183387270765911,0.00048435814455231933,1.8338727076591153e-5,0.0
25.0,5.0,2.0,101.0,10000.0,0.18024919093851133,0.037138079827400215,0.015234088457389428,0.0004940668824163969,1.7259978425026968e-5,0.0
50.0,1.0,2.0,101.0,10000.0,0.18088349514563107,0.03733656957928803,0.015074433656957929,0.0005016181229773463,1.8338727076591153e-5,0.0
50.0,5.0,2.0,101.0,10000.0,0.1802740021574973,0.03719848975188781,0.015226537216828479,0.0004854368932038835,1.6181229773462782e-5,0.0
5.0,10.0,2.0,101.0,10000.0,0.18109708737864078,0.03709492988133765,0.015275080906148868,0.00048327939590075514,1.941747572815534e-5,0.0
5.0,5.0,2.0,101.0,10000.0,0.18023948220064726,0.03732686084142395,0.015110032362459547,0.0004951456310679611,1.941747572815534e-5,0.0
