K,Q,D,mask,lppd
1.0,1.0,1.0,101.0,-4.522231160934974
1.0,1.0,1.0,102.0,-4.62351645858197
5.0,1.0,1.0,101.0,-4.339609567267006
5.0,1.0,1.0,102.0,-4.421511610116939
10.0,1.0,1.0,101.0,-4.299378970540404
10.0,1.0,1.0,102.0,-4.4198368815176865
25.0,1.0,1.0,101.0,-4.301742914014122
25.0,1.0,1.0,102.0,-4.380959958793905
1.0,3.0,1.0,101.0,-4.31479182224784
1.0,3.0,1.0,102.0,-4.391894481312058
5.0,3.0,1.0,101.0,-4.234500738781135
5.0,3.0,1.0,102.0,-4.283565446559947
10.0,3.0,1.0,101.0,-4.179921890243168
10.0,3.0,1.0,102.0,-4.280790614846478
25.0,3.0,1.0,101.0,-4.203532341747874
25.0,3.0,1.0,102.0,-4.276834242889042
1.0,5.0,1.0,101.0,-4.225099516039372
1.0,5.0,1.0,102.0,-4.274535967776668
5.0,5.0,1.0,101.0,-4.141799412886169
5.0,5.0,1.0,102.0,-4.210741803611153
10.0,5.0,1.0,101.0,-4.122162793781554
10.0,5.0,1.0,102.0,-4.176568744085157
25.0,5.0,1.0,101.0,-4.1085657457010925
25.0,5.0,1.0,102.0,-4.154008963902955
1.0,1.0,2.0,101.0,-4.533266661582658
1.0,1.0,2.0,102.0,-4.571812349189109
5.0,1.0,2.0,101.0,-4.368413019141758
5.0,1.0,2.0,102.0,-4.421799268885976
10.0,1.0,2.0,101.0,-4.344509831413583
10.0,1.0,2.0,102.0,-4.428661730957762
25.0,1.0,2.0,101.0,-4.473362631072467
25.0,1.0,2.0,102.0,-4.3955395959911
1.0,3.0,2.0,101.0,-4.377769005071576
1.0,3.0,2.0,102.0,-4.423531786179089
5.0,3.0,2.0,101.0,-4.239524071430672
5.0,3.0,2.0,102.0,-4.295725696035201
10.0,3.0,2.0,101.0,-4.2183210971097
10.0,3.0,2.0,102.0,-4.265925668565876
25.0,3.0,2.0,101.0,-4.267696386812214
25.0,3.0,2.0,102.0,-4.279863977247947
1.0,5.0,2.0,101.0,-4.260923446563539
1.0,5.0,2.0,102.0,-4.308503750195856
5.0,5.0,2.0,101.0,-4.16500269224629
5.0,5.0,2.0,102.0,-4.247467368605752
10.0,5.0,2.0,101.0,-4.193953675975376
10.0,5.0,2.0,102.0,-4.229217221092951
25.0,5.0,2.0,101.0,-4.30678428236836
25.0,5.0,2.0,102.0,-4.233302953969611
1.0,1.0,3.0,101.0,-4.564312100340767
1.0,1.0,3.0,102.0,-4.60106622363757
5.0,1.0,3.0,101.0,-4.414466902303614
5.0,1.0,3.0,102.0,-4.475880700456646
10.0,1.0,3.0,101.0,-4.418251841077042
10.0,1.0,3.0,102.0,-4.496837115917948
25.0,1.0,3.0,101.0,-4.565501739379355
25.0,1.0,3.0,102.0,-4.5633312979115
1.0,3.0,3.0,101.0,-4.422179898766344
1.0,3.0,3.0,102.0,-4.544994485730211
5.0,3.0,3.0,101.0,-4.286871015103396
5.0,3.0,3.0,102.0,-4.364054018223435
10.0,3.0,3.0,101.0,-4.319520524836372
10.0,3.0,3.0,102.0,-4.349254245033313
25.0,3.0,3.0,101.0,-4.352657843191968
25.0,3.0,3.0,102.0,-4.410699047974524
1.0,5.0,3.0,101.0,-4.426942587224482
1.0,5.0,3.0,102.0,-4.422644185244401
5.0,5.0,3.0,101.0,-4.227414797228406
5.0,5.0,3.0,102.0,-4.300273758736369
10.0,5.0,3.0,101.0,-4.244962448457205
10.0,5.0,3.0,102.0,-4.4110385883130245
25.0,5.0,3.0,101.0,-4.339825808033029
25.0,5.0,3.0,102.0,-4.332451758646258
