K,Q,D,mask,chain,burnin,lppd
100.0,5.0,1.0,101.0,101.0,5000.0,-2.7754792052746753
25.0,5.0,1.0,101.0,101.0,10000.0,-2.681527338928615
25.0,5.0,1.0,101.0,101.0,5000.0,-2.696773869875462
50.0,5.0,1.0,101.0,101.0,10000.0,-2.7002937476381486
50.0,5.0,1.0,101.0,101.0,5000.0,-2.7094916950286785
5.0,5.0,1.0,101.0,101.0,10000.0,-2.7061334443647604
5.0,5.0,1.0,101.0,101.0,5000.0,-2.7059807687483093
100.0,5.0,2.0,101.0,101.0,5000.0,-2.861420348554422
25.0,5.0,2.0,101.0,101.0,10000.0,-2.7836337757280982
25.0,5.0,2.0,101.0,101.0,5000.0,-2.74245562829837
50.0,5.0,2.0,101.0,101.0,10000.0,-2.7380360076421835
50.0,5.0,2.0,101.0,101.0,5000.0,-2.8639479080232313
5.0,5.0,2.0,101.0,101.0,10000.0,-2.708163656427156
5.0,5.0,2.0,101.0,101.0,5000.0,-2.7425174362195865
1.0,1.0,1.0,102.0,101.0,10000.0,-2.872419391187384
1.0,5.0,1.0,102.0,101.0,10000.0,-2.7488781237857327
25.0,1.0,1.0,102.0,101.0,10000.0,-2.750319945053835
25.0,5.0,1.0,102.0,101.0,10000.0,-2.6945843987147415
5.0,1.0,1.0,102.0,101.0,10000.0,-2.792774395878815
5.0,5.0,1.0,102.0,101.0,10000.0,-2.709357978079745
1.0,1.0,2.0,102.0,101.0,10000.0,-2.871162777229682
1.0,5.0,2.0,102.0,101.0,10000.0,-2.815688977261465
25.0,1.0,2.0,102.0,101.0,10000.0,-2.8568065487193395
25.0,5.0,2.0,102.0,101.0,10000.0,-2.72934420191283
5.0,1.0,2.0,102.0,101.0,10000.0,-2.8052314378212273
5.0,5.0,2.0,102.0,101.0,10000.0,-2.7309847162459318
1.0,1.0,1.0,103.0,101.0,10000.0,-2.956709395108849
1.0,5.0,1.0,103.0,101.0,10000.0,-2.9082421041580058
25.0,1.0,1.0,103.0,101.0,10000.0,-2.8305054135627032
25.0,5.0,1.0,103.0,101.0,10000.0,-2.763168969868254
5.0,1.0,1.0,103.0,101.0,10000.0,-2.8857917117639706
5.0,5.0,1.0,103.0,101.0,10000.0,-2.8076274689922425
1.0,1.0,2.0,103.0,101.0,10000.0,-2.953499423111126
1.0,5.0,2.0,103.0,101.0,10000.0,-3.00007734075893
25.0,1.0,2.0,103.0,101.0,10000.0,-2.8448606106856658
25.0,5.0,2.0,103.0,101.0,10000.0,-2.7737079492919645
5.0,1.0,2.0,103.0,101.0,10000.0,-2.9041655728769173
5.0,5.0,2.0,103.0,101.0,10000.0,-2.8450865723482552
1.0,1.0,1.0,104.0,101.0,10000.0,-2.9159982821873243
1.0,5.0,1.0,104.0,101.0,10000.0,-2.8343148779045233
25.0,1.0,1.0,104.0,101.0,10000.0,-2.782720518320711
25.0,5.0,1.0,104.0,101.0,10000.0,-2.7211069846428195
5.0,1.0,1.0,104.0,101.0,10000.0,-2.8772835605290137
5.0,5.0,1.0,104.0,101.0,10000.0,-2.7710787336486757
1.0,1.0,2.0,104.0,101.0,10000.0,-2.915220845074285
1.0,5.0,2.0,104.0,101.0,10000.0,-3.1854942194985774
25.0,1.0,2.0,104.0,101.0,10000.0,-2.8820232548060787
25.0,5.0,2.0,104.0,101.0,10000.0,-2.7412662310804428
5.0,1.0,2.0,104.0,101.0,10000.0,-3.0808266614727935
5.0,5.0,2.0,104.0,101.0,10000.0,-2.7780566014826444
1.0,1.0,1.0,105.0,101.0,10000.0,-2.8912790063840763
1.0,5.0,1.0,105.0,101.0,10000.0,-2.7936794669560396
25.0,1.0,1.0,105.0,101.0,10000.0,-2.75461341262267
5.0,1.0,1.0,105.0,101.0,10000.0,-2.8115965820853743
5.0,5.0,1.0,105.0,101.0,10000.0,-2.735687401750457
1.0,1.0,2.0,105.0,101.0,10000.0,-2.889239643084089
1.0,5.0,2.0,105.0,101.0,10000.0,-2.842078914165566
25.0,1.0,2.0,105.0,101.0,10000.0,-2.7684278462600376
25.0,5.0,2.0,105.0,101.0,10000.0,-2.755478824511765
5.0,1.0,2.0,105.0,101.0,10000.0,-2.8346566594369946
5.0,5.0,2.0,105.0,101.0,10000.0,-2.730772994526073
